ROIid,Volume,Peak,Mean,SD,Peak_Magnitude_XYZ_1,Peak_Magnitude_XYZ_2,Peak_Magnitude_XYZ_3,hemisphere,lobe,id_Yeo7,P_Yeo7,name_Yeo7,id_WFU,P_WFU,name_WFU,id_AAL2,P_AAL2,name_AAL2,id_HO_CS,P_HO_CS,name_HO_CS,id_Yeo17,P_Yeo17,name_Yeo17,id_Shirer2012,P_Shirer2012,name_Shirer2012,id_Cerb,P_Cerb,name_Cerb,id_BNA,P_BNA,name_BNA
13,461,4.395670891,3.533065194,0.277462599,-26,2,0,Left,subcorticalGM,4,0.327548807,Ventral Attention,0,0,null,77,0.540130152,Putamen_L,3,0.449023861,L Putamen,8,0.422993492,17Network_08,3,0.301518438,Basal_Ganglia,0,0,null,221,0.303687636,GP
18,178,4.33140564,3.479327012,0.277477192,-32,-4,48,Left,Frontal,3,0.926966292,Dorsal Attention,48,0.786516854,BA.06,1,0.758426966,Precentral_L,19,0.556179775,Middle Frontal Gyrus,6,0.814606742,17Network_06,14,0.421348315,Visuospatial,0,0,null,25,0.634831461,A6vl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROIid,id_Yeo17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8,,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12,,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
